Rank,Branch,last_role_title,Target_Next_Role,Target_Next_Role_Raw
Captain,Tactical Systems,Dy Director SFHQ - Resource Management,Dean -,Dean - Fleet Technical Training Center / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer,Staff Officer Field HQ - Tactical Systems
Lieutenant Commander,Tactical Systems,Staff Officer,Head of Deptt,Head of Deptt CS Atlantis
Commander,Tactical Systems,Head of Deptt,Manager,Manager Dockyard Complex One
Captain,Tactical Systems,Manager,Director R&D - Hull Integrity,Director R&D - Hull Integrity / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Horizon
Commander,Tactical Systems,Head of Deptt,Manager,Manager Starbase Support Command Delta
Captain,Tactical Systems,Manager,Dean -,Dean - Starfleet Engineering Academy / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Operations Analysis,Staff Officer SFHQ - Operations Analysis
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Operations Analysis,Head of Deptt,Head of Deptt CS Horizon
Commander,Tactical Systems,Head of Deptt,Manager Planetary Repair Depot One,Manager Planetary Repair Depot One
Captain,Tactical Systems,Manager Planetary Repair Depot One,Director,Director Fleet Maintenance Wing Alpha / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Dockyard Complex Two
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt ISS Prometheus
Commander,Engineering,Head of Deptt,Dy Director R&D - Structural Materials,Dy Director R&D - Structural Materials
Captain,Engineering,Dy Director R&D - Structural Materials,Dean -,Dean - Advanced Systems College
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Sigma
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt SS Prometheus
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Deflector Shields,Dy Director R&D - Deflector Shields
Captain,Tactical Systems,Dy Director R&D - Deflector Shields,Director R&D - Stealth Systems,Director R&D - Stealth Systems / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt CS Titan
Commander,Engineering,Head of Deptt,Training Officer -,Training Officer - Advanced Systems College
Captain,Engineering,Training Officer -,Director Hull Repair Yard Beta,Director Hull Repair Yard Beta / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Dauntless
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Snr Staff Officer,Snr Staff Officer Field HQ - Engineering / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Titan
Commander,Engineering,Head of Deptt,Training Officer -,Training Officer - Starfleet Engineering Academy
Captain,Engineering,Training Officer -,General Manager,General Manager Systems Maintenance Group Sigma / Post 1
Lieutenant,Engineering,Div Officer,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Engineering,Asst Manager Hull Repair Yard Alpha,Head of Deptt,Head of Deptt RS Genesis
Commander,Engineering,Head of Deptt,Dy Director R&D - Propulsion Systems,Dy Director R&D - Propulsion Systems
Captain,Engineering,Dy Director R&D - Propulsion Systems,General Manager,General Manager Dockyard Complex One / Post 1
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Dockyard Complex One
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt SS Meridian
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Capability Planning,Dy Director SFHQ - Capability Planning
Captain,Engineering,Dy Director SFHQ - Capability Planning,Director R&D - Tactical AI,Director R&D - Tactical AI / Post 1
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Strategic Planning,Staff Officer SFHQ - Strategic Planning
Lieutenant Commander,Engineering,Staff Officer SFHQ - Strategic Planning,Head of Deptt,Head of Deptt CS Atlantis
Commander,Engineering,Head of Deptt,Dy Director R&D - Tactical AI,Dy Director R&D - Tactical AI
Captain,Engineering,Dy Director R&D - Tactical AI,Director,Director Systems Maintenance Group Sigma / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Dockyard Complex One
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt SS Daedalus
Commander,Engineering,Head of Deptt,Manager,Manager Systems Maintenance Group Prime
Captain,Engineering,Manager,Dean -,Dean - Starfleet Hull School
Lieutenant,Engineering,Asst Manager,Asst Manager Planetary Repair Depot Two,Asst Manager Planetary Repair Depot Two
Lieutenant Commander,Engineering,Asst Manager Planetary Repair Depot Two,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 5
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Starbase Support Command Delta
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt SS Titan
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ - Strategic Planning,Dy Director SFHQ - Strategic Planning
Captain,Tactical Systems,Dy Director SFHQ - Strategic Planning,Director Hull Repair Yard Alpha,Director Hull Repair Yard Alpha
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ -,Staff Officer SFHQ - Fleet Readiness
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ -,Head of Deptt,Head of Deptt ISS Daedalus
Commander,Tactical Systems,Head of Deptt,Manager,Manager Starbase Support Command Delta
Captain,Tactical Systems,Manager,General Manager,General Manager Fleet Maintenance Wing Alpha
Commodore,Tactical Systems,General Manager,Asst to Chief - Tactical Systems,Asst to Chief - Tactical Systems / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Daedalus
Commander,Engineering,Head of Deptt,Dy Director R&D -,Dy Director R&D - Warp Field Dynamics
Captain,Engineering,Dy Director R&D -,General Manager,General Manager Starbase Support Command Delta
Commodore,Engineering,General Manager,Dy Managing Director,Dy Managing Director Fleet Maintenance Wing Alpha / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Titan
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Stealth Systems,Dy Director R&D - Stealth Systems
Captain,Tactical Systems,Dy Director R&D - Stealth Systems,Snr Staff Officer,Snr Staff Officer Field HQ - Tactical Systems
Commodore,Tactical Systems,Snr Staff Officer,Managing Director R&D - Plasma Systems,Managing Director R&D - Plasma Systems
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Resource Management,Staff Officer SFHQ - Resource Management
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Resource Management,Head of Deptt,Head of Deptt SS Gateway
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta
Captain,Tactical Systems,Manager Hull Repair Yard Beta,Director R&D - Stealth Systems,Director R&D - Stealth Systems
Commodore,Tactical Systems,Director R&D - Stealth Systems,Dy Managing Director,Dy Managing Director Systems Maintenance Group Prime / Post 1
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Systems Integration,Staff Officer SFHQ - Systems Integration
Lieutenant Commander,Engineering,Staff Officer SFHQ - Systems Integration,Head of Deptt,Head of Deptt USS Invictus
Commander,Engineering,Head of Deptt,Dy Director R&D - Plasma Systems,Dy Director R&D - Plasma Systems
Captain,Engineering,Dy Director R&D - Plasma Systems,General Manager,General Manager Fleet Maintenance Wing Beta
Commodore,Engineering,General Manager,Asst to Chief - Engineering,Asst to Chief - Engineering / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Gateway
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Resource Management,Dy Director SFHQ - Resource Management
Captain,Engineering,Dy Director SFHQ - Resource Management,Snr Staff Officer,Snr Staff Officer Field HQ - Engineering
Commodore,Engineering,Snr Staff Officer,Dy Managing Director Hull Repair Yard Beta,Dy Managing Director Hull Repair Yard Beta / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Prometheus
Commander,Engineering,Head of Deptt,Manager,Manager Fleet Maintenance Wing Alpha
Captain,Engineering,Manager,Director Planetary Repair Depot Two,Director Planetary Repair Depot Two
Commodore,Engineering,Director Planetary Repair Depot Two,Managing Director R&D - Energy Systems,Managing Director R&D - Energy Systems / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Atlantis
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Capability Planning,Dy Director SFHQ - Capability Planning
Captain,Engineering,Dy Director SFHQ - Capability Planning,General Manager,General Manager Systems Maintenance Group Prime
Commodore,Engineering,General Manager,Dy Managing Director,Dy Managing Director Systems Maintenance Group Sigma / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Technical Policy,Staff Officer SFHQ - Technical Policy
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Technical Policy,Head of Deptt,Head of Deptt RS Prometheus
Commander,Tactical Systems,Head of Deptt,Manager Planetary Repair Depot Two,Manager Planetary Repair Depot Two
Captain,Tactical Systems,Manager Planetary Repair Depot Two,General Manager,General Manager Starbase Support Command Gamma
Commodore,Tactical Systems,General Manager,Commandant -,Commandant - Systems Design College
Lieutenant,Engineering,Instructor -,Asst Manager,Asst Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Engineering,Asst Manager,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 6
Lieutenant,Tactical Systems,Div Officer,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One
Lieutenant Commander,Tactical Systems,Asst Manager Planetary Repair Depot One,Head of Deptt,Head of Deptt SS Meridian
Commander,Tactical Systems,Head of Deptt,Manager,Manager Starbase Support Command Gamma
Captain,Tactical Systems,Manager,Director SFHQ - Technical Policy,Director SFHQ - Technical Policy
Commodore,Tactical Systems,Director SFHQ - Technical Policy,Dy Managing Director,Dy Managing Director Dockyard Complex One
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Pioneer
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Alpha,Manager Hull Repair Yard Alpha
Captain,Tactical Systems,Manager Hull Repair Yard Alpha,Director SFHQ - Strategic Planning,Director SFHQ - Strategic Planning
Commodore,Tactical Systems,Director SFHQ - Strategic Planning,Dy Managing Director Hull Repair Yard Alpha,Dy Managing Director Hull Repair Yard Alpha
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Capability Planning,Staff Officer SFHQ - Capability Planning
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Capability Planning,Head of Deptt,Head of Deptt USS Tempest
Commander,Tactical Systems,Head of Deptt,Manager,Manager Dockyard Complex One
Captain,Tactical Systems,Manager,Director R&D - Energy Systems,Director R&D - Energy Systems
Commodore,Tactical Systems,Director R&D - Energy Systems,Managing Director R&D -,Managing Director R&D - Warp Field Dynamics
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt ISS Horizon
Commander,Engineering,Head of Deptt,Dy Director R&D - Sensors and Communications,Dy Director R&D - Sensors and Communications
Captain,Engineering,Dy Director R&D - Sensors and Communications,Director R&D - Sensors and Communications,Director R&D - Sensors and Communications
Commodore,Engineering,Director R&D - Sensors and Communications,Dy Managing Director,Dy Managing Director Starbase Support Command Gamma / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Genesis
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Technical Policy,Dy Director SFHQ - Technical Policy
Captain,Engineering,Dy Director SFHQ - Technical Policy,Director R&D - Quantum Computing,Director R&D - Quantum Computing
Commodore,Engineering,Director R&D - Quantum Computing,Dy Managing Director,Dy Managing Director Starbase Support Command Delta
Lieutenant,Engineering,Div Officer,Dy Manager Planetary Repair Depot Two,Dy Manager Planetary Repair Depot Two
Lieutenant Commander,Engineering,Dy Manager Planetary Repair Depot Two,Head of Deptt,Head of Deptt CS Meridian
Commander,Engineering,Head of Deptt,Dy Director R&D - Nanotech Repair,Dy Director R&D - Nanotech Repair
Captain,Engineering,Dy Director R&D - Nanotech Repair,Director R&D - Plasma Systems,Director R&D - Plasma Systems
Commodore,Engineering,Director R&D - Plasma Systems,Dy Managing Director Planetary Repair Depot Two,Dy Managing Director Planetary Repair Depot Two
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Prometheus
Commander,Engineering,Head of Deptt,Training Officer -,Training Officer - Warp Technology Institute
Captain,Engineering,Training Officer -,Director SFHQ -,Director SFHQ - Fleet Readiness
Commodore,Engineering,Director SFHQ -,Dy Managing Director,Dy Managing Director Starbase Support Command Gamma
Rear Admiral,Engineering,Dy Managing Director,Managing Director,Managing Director Fleet Maintenance Wing Beta
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Horizon
Commander,Engineering,Head of Deptt,Manager,Manager Systems Maintenance Group Prime
Captain,Engineering,Manager,General Manager,General Manager Dockyard Complex Two
Commodore,Engineering,General Manager,Dy Managing Director,Dy Managing Director Fleet Maintenance Wing Beta
Rear Admiral,Engineering,Dy Managing Director,Managing Director,Managing Director Dockyard Complex One
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Doctrine and Development,Staff Officer SFHQ - Doctrine and Development / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 13
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 8
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 11
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 13
Lieutenant,Engineering,Div Officer,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 9
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 14
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 11
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 10
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College / Post 11
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 11
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 11
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 12
Lieutenant,Tactical Systems,Asst Manager Planetary Repair Depot Two,Dy Manager,Dy Manager Dockyard Complex One / Post 2
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Starbase Support Command Delta / Post 7
Lieutenant,Tactical Systems,Asst Manager,Asst Manager,Asst Manager Systems Maintenance Group Prime / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 15
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 16
Lieutenant,Engineering,Staff Officer,Instructor -,Instructor - Enlisted Technical School / Post 12
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Gateway / Post 4
Lieutenant,Engineering,Div Officer,Asst Manager Planetary Repair Depot Two,Asst Manager Planetary Repair Depot Two
Lieutenant Commander,Engineering,Asst Manager Planetary Repair Depot Two,Head of Deptt,Head of Deptt RS Nova / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Gateway / Post 4
Lieutenant,Tactical Systems,Asst Manager,Asst Manager Hull Repair Yard Beta,Asst Manager Hull Repair Yard Beta
Lieutenant Commander,Tactical Systems,Asst Manager Hull Repair Yard Beta,Dy Manager,Dy Manager Dockyard Complex One / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Horizon / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Atlantis / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Genesis / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Atlantis / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Daedalus
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Nova / Post 5
Lieutenant,Hull Systems,Staff Officer,Asst Manager Hull Repair Yard Beta,Asst Manager Hull Repair Yard Beta
Lieutenant Commander,Hull Systems,Asst Manager Hull Repair Yard Beta,Training Officer -,Training Officer - Systems Design College / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Atlantis / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Titan / Post 4
Lieutenant,Hull Systems,Asst Manager,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Hull Systems,Instructor -,Staff Officer,Staff Officer Field HQ - Hull Systems / Post 2
Lieutenant Commander,Science,Staff Officer R&D - Propulsion Systems,Staff Officer,Staff Officer Field HQ - Science / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Valiant / Post 5
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt SS Gateway / Post 9
Lieutenant,Engineering,Asst Manager,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Engineering,Asst Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta / Post 5
Lieutenant,Tactical Systems,Asst Manager Hull Repair Yard Alpha,Dy Manager,Dy Manager Dockyard Complex One
Lieutenant Commander,Tactical Systems,Dy Manager,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Gateway / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Genesis / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Atlantis / Post 4
Lieutenant,Engineering,Asst Manager,Dy Manager,Dy Manager Systems Maintenance Group Prime
Lieutenant Commander,Engineering,Dy Manager,Dy Manager,Dy Manager Systems Maintenance Group Prime / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Atlantis / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Aegis / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Daedalus / Post 4
Lieutenant,Tactical Systems,Div Officer,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha
Lieutenant Commander,Tactical Systems,Dy Manager Hull Repair Yard Alpha,Head of Deptt,Head of Deptt ISS Titan / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Horizon / Post 2
Lieutenant,Hull Systems,Staff Officer,Staff Officer R&D - Quantum Computing,Staff Officer R&D - Quantum Computing
Lieutenant Commander,Hull Systems,Staff Officer R&D - Quantum Computing,Dy Manager,Dy Manager Starbase Support Command Delta / Post 3
Lieutenant,Engineering,Div Officer,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One
Lieutenant Commander,Engineering,Dy Manager Planetary Repair Depot One,Head of Deptt,Head of Deptt USS Defiant / Post 3
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Sigma
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt CS Atlantis / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Gateway / Post 4
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Starbase Support Command Delta
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt ISS Gateway / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Vanguard / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Pioneer / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Pioneer / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Nova / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Genesis / Post 6
Lieutenant,Hull Systems,Staff Officer R&D - Quantum Computing,Staff Officer R&D - Deflector Shields,Staff Officer R&D - Deflector Shields
Lieutenant Commander,Hull Systems,Staff Officer R&D - Deflector Shields,Staff Officer SFHQ -,Staff Officer SFHQ - Fleet Readiness / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Titan / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Nova / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Meridian / Post 4
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Starbase Support Command Gamma
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt ISS Genesis / Post 3
Lieutenant,Tactical Systems,Div Officer,Asst Manager Hull Repair Yard Beta,Asst Manager Hull Repair Yard Beta
Lieutenant Commander,Tactical Systems,Asst Manager Hull Repair Yard Beta,Head of Deptt,Head of Deptt USS Vanguard / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Hermes / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Orion / Post 4
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Prime
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt RS Nova / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Horizon / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Horizon / Post 2
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Dockyard Complex Two
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt USS Endeavour / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Prometheus / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Horizon / Post 3
Lieutenant,Hull Systems,Asst Manager Hull Repair Yard Beta,Staff Officer,Staff Officer Field HQ - Hull Systems
Lieutenant Commander,Hull Systems,Staff Officer,Staff Officer SFHQ - Doctrine and Development,Staff Officer SFHQ - Doctrine and Development / Post 3
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Dockyard Complex Two
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt ISS Meridian / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Genesis / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Eclipse / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
